lat_grid,lon_grid,date,chlorophyll_mg_m3,ndci,cloud_cover_frac,pixel_valid,data_source
0.0,112.0,2023-01-08,1.2925,0.4421,0.57,0,MODIS_TERRA
0.0,117.0,2023-01-08,1.9822,0.5971,0.58,0,MODIS_TERRA
1.0,114.0,2023-01-08,1.5271,0.5067,0.67,0,MODIS_TERRA
2.0,100.0,2023-01-08,2.6843,0.686,0.69,0,MODIS_TERRA
2.0,108.0,2023-01-08,1.2871,0.4404,0.52,0,MODIS_TERRA
2.0,120.0,2023-01-08,2.4315,0.6589,0.47,1,MODIS_TERRA
4.0,108.0,2023-01-08,1.4952,0.4988,0.15,1,MODIS_TERRA
4.0,110.0,2023-01-08,1.689,0.5432,0.1,1,MODIS_TERRA
5.0,100.0,2023-01-08,2.4808,0.6645,0.51,0,MODIS_TERRA
6.0,105.0,2023-01-08,2.0068,0.6011,0.39,1,MODIS_TERRA
6.0,108.0,2023-01-08,1.7857,0.5625,0.64,0,MODIS_TERRA
6.0,121.0,2023-01-08,2.2651,0.6383,0.73,0,MODIS_TERRA
7.0,104.0,2023-01-08,2.1198,0.6183,0.06,1,MODIS_TERRA
8.0,115.0,2023-01-08,2.0748,0.6116,0.7,0,MODIS_TERRA
9.0,96.0,2023-01-08,2.2378,0.6347,0.1,1,MODIS_TERRA
10.0,95.0,2023-01-08,2.4374,0.6596,0.06,1,MODIS_TERRA
11.0,98.0,2023-01-08,2.223,0.6328,0.11,1,MODIS_TERRA
11.0,120.0,2023-01-08,2.3772,0.6524,0.09,1,MODIS_TERRA
12.0,116.0,2023-01-08,2.1054,0.6162,0.38,1,MODIS_TERRA
12.0,119.0,2023-01-08,2.2759,0.6398,0.22,1,MODIS_TERRA
13.0,111.0,2023-01-08,1.9151,0.5859,0.74,0,MODIS_TERRA
13.0,117.0,2023-01-08,1.9969,0.5995,0.73,0,MODIS_TERRA
14.0,100.0,2023-01-08,2.4277,0.6584,0.29,1,MODIS_TERRA
14.0,103.0,2023-01-08,2.1872,0.6279,0.24,1,MODIS_TERRA
15.0,115.0,2023-01-08,1.734,0.5524,0.53,0,MODIS_TERRA
15.0,121.0,2023-01-08,2.2797,0.6402,0.04,1,MODIS_TERRA
16.0,104.0,2023-01-08,1.827,0.5703,0.06,1,MODIS_TERRA
16.0,109.0,2023-01-08,1.4983,0.4996,0.64,0,MODIS_TERRA
17.0,96.0,2023-01-08,1.7943,0.5641,0.59,0,MODIS_TERRA
17.0,103.0,2023-01-08,2.3061,0.6436,0.79,0,MODIS_TERRA
17.0,107.0,2023-01-08,1.474,0.4934,0.08,1,MODIS_TERRA
17.0,110.0,2023-01-08,1.3235,0.4516,0.51,0,MODIS_TERRA
18.0,100.0,2023-01-08,2.9385,0.7092,0.41,1,MODIS_TERRA
18.0,120.0,2023-01-08,2.4605,0.6622,0.6,0,MODIS_TERRA
18.25,99.75,2023-01-08,2.3497,0.6491,0.67,0,MODIS_TERRA
18.25,100.0,2023-01-08,2.543,0.6714,0.26,1,MODIS_TERRA
18.25,100.25,2023-01-08,2.5674,0.674,0.14,1,MODIS_TERRA
18.5,99.75,2023-01-08,2.39,0.654,0.77,0,MODIS_TERRA
18.5,100.0,2023-01-08,2.5049,0.6672,0.08,1,MODIS_TERRA
18.5,100.5,2023-01-08,2.4582,0.662,0.16,1,MODIS_TERRA
18.75,99.5,2023-01-08,2.3172,0.645,0.31,1,MODIS_TERRA
18.75,100.0,2023-01-08,2.4582,0.662,0.03,1,MODIS_TERRA
18.75,100.25,2023-01-08,2.3584,0.6502,0.25,1,MODIS_TERRA
19.0,102.0,2023-01-08,2.0977,0.615,0.59,0,MODIS_TERRA
19.0,104.0,2023-01-08,2.0203,0.6032,0.35,1,MODIS_TERRA
19.0,108.0,2023-01-08,1.214,0.4166,0.08,1,MODIS_TERRA
19.0,111.0,2023-01-08,1.2623,0.4325,0.13,1,MODIS_TERRA
20.0,115.0,2023-01-08,1.679,0.5411,0.24,1,MODIS_TERRA
20.0,118.0,2023-01-08,2.3054,0.6435,0.59,0,MODIS_TERRA
21.0,105.0,2023-01-08,1.6702,0.5392,0.58,0,MODIS_TERRA
21.0,114.0,2023-01-08,1.4751,0.4937,0.32,1,MODIS_TERRA
21.0,116.0,2023-01-08,2.3034,0.6433,0.27,1,MODIS_TERRA
18.0,101.25,2023-01-09,2.445,0.6604,0.54,0,MODIS_TERRA
18.25,100.25,2023-01-09,2.3418,0.6481,0.41,1,MODIS_TERRA
18.25,100.5,2023-01-09,2.4843,0.6649,0.77,0,MODIS_TERRA
18.25,101.0,2023-01-09,2.2415,0.6352,0.18,1,MODIS_TERRA
18.5,100.25,2023-01-09,2.342,0.6481,0.1,1,MODIS_TERRA
18.5,100.75,2023-01-09,2.3222,0.6457,0.23,1,MODIS_TERRA
9.0,105.75,2023-01-10,2.3313,0.6468,0.59,0,MODIS_TERRA
9.0,106.0,2023-01-10,2.3462,0.6486,0.3,1,MODIS_TERRA
9.0,106.25,2023-01-10,2.3148,0.6447,0.6,0,MODIS_TERRA
9.25,106.0,2023-01-10,2.4339,0.6592,0.49,1,MODIS_TERRA
9.25,106.25,2023-01-10,2.2871,0.6412,0.24,1,MODIS_TERRA
9.5,106.25,2023-01-10,2.3664,0.6511,0.71,0,MODIS_TERRA
18.0,101.0,2023-01-10,2.2432,0.6355,0.64,0,MODIS_TERRA
18.0,101.25,2023-01-10,2.2069,0.6306,0.15,1,MODIS_TERRA
18.25,101.25,2023-01-10,2.3154,0.6448,0.73,0,MODIS_TERRA
18.25,101.5,2023-01-10,2.2476,0.636,0.13,1,MODIS_TERRA
18.5,101.25,2023-01-10,2.2418,0.6353,0.11,1,MODIS_TERRA
18.5,101.5,2023-01-10,2.18,0.6269,0.2,1,MODIS_TERRA
18.75,101.25,2023-01-10,2.2196,0.6323,0.71,0,MODIS_TERRA
18.75,101.5,2023-01-10,2.1754,0.6262,0.08,1,MODIS_TERRA
18.75,101.75,2023-01-10,2.1337,0.6203,0.58,0,MODIS_TERRA
9.25,106.25,2023-01-11,2.2871,0.6412,0.38,1,MODIS_TERRA
9.25,106.5,2023-01-11,2.3026,0.6432,0.03,1,MODIS_TERRA
9.5,106.5,2023-01-11,2.4474,0.6607,0.3,1,MODIS_TERRA
9.75,105.75,2023-01-11,2.386,0.6535,0.69,0,MODIS_TERRA
9.75,106.0,2023-01-11,2.3821,0.653,0.77,0,MODIS_TERRA
9.75,106.25,2023-01-11,2.4149,0.6569,0.04,1,MODIS_TERRA
18.5,101.25,2023-01-11,2.3557,0.6498,0.78,0,MODIS_TERRA
18.75,101.0,2023-01-11,2.4219,0.6578,0.43,1,MODIS_TERRA
18.75,101.5,2023-01-11,2.188,0.628,0.2,1,MODIS_TERRA
18.75,101.75,2023-01-11,2.3061,0.6436,0.04,1,MODIS_TERRA
19.0,101.0,2023-01-11,2.2478,0.6361,0.39,1,MODIS_TERRA
19.0,101.5,2023-01-11,2.3582,0.6501,0.03,1,MODIS_TERRA
19.25,101.25,2023-01-11,2.249,0.6362,0.4,1,MODIS_TERRA
19.5,101.25,2023-01-11,2.3291,0.6465,0.12,1,MODIS_TERRA
19.5,101.5,2023-01-11,2.2326,0.6341,0.52,0,MODIS_TERRA
8.75,104.75,2023-01-12,2.292,0.6418,0.61,0,MODIS_TERRA
9.0,104.5,2023-01-12,2.3305,0.6467,0.6,0,MODIS_TERRA
9.25,104.75,2023-01-12,2.7314,0.6905,0.07,1,MODIS_TERRA
9.25,105.0,2023-01-12,2.391,0.6541,0.21,1,MODIS_TERRA
9.5,104.75,2023-01-12,2.3652,0.651,0.52,0,MODIS_TERRA
9.5,105.0,2023-01-12,2.4889,0.6654,0.79,0,MODIS_TERRA
9.75,105.0,2023-01-12,2.3859,0.6535,0.53,0,MODIS_TERRA
16.25,102.0,2023-01-12,2.1481,0.6224,0.71,0,MODIS_TERRA
16.25,102.25,2023-01-12,2.1822,0.6272,0.43,1,MODIS_TERRA
16.5,102.0,2023-01-12,2.263,0.6381,0.41,1,MODIS_TERRA
8.75,104.5,2023-01-13,2.2516,0.6366,0.21,1,MODIS_TERRA
8.75,104.75,2023-01-13,2.3241,0.6459,0.69,0,MODIS_TERRA
9.0,104.25,2023-01-13,2.3567,0.6499,0.39,1,MODIS_TERRA
9.0,104.75,2023-01-13,2.2915,0.6418,0.13,1,MODIS_TERRA
9.0,105.0,2023-01-13,2.2776,0.64,0.53,0,MODIS_TERRA
16.5,101.75,2023-01-13,2.4213,0.6577,0.48,1,MODIS_TERRA
16.5,102.0,2023-01-13,2.2096,0.6309,0.46,1,MODIS_TERRA
20.5,104.25,2023-01-13,1.8236,0.5696,0.53,0,MODIS_TERRA
20.75,104.0,2023-01-13,1.8325,0.5713,0.11,1,MODIS_TERRA
20.75,105.0,2023-01-13,1.6807,0.5414,0.15,1,MODIS_TERRA
21.0,104.25,2023-01-13,1.866,0.5774,0.14,1,MODIS_TERRA
21.0,104.5,2023-01-13,1.796,0.5645,0.69,0,MODIS_TERRA
21.25,104.5,2023-01-13,1.8194,0.5689,0.72,0,MODIS_TERRA
21.25,105.0,2023-01-13,1.7549,0.5565,0.77,0,MODIS_TERRA
8.75,105.0,2023-01-14,2.3124,0.6444,0.26,1,MODIS_TERRA
8.75,105.25,2023-01-14,2.3361,0.6474,0.33,1,MODIS_TERRA
9.0,104.25,2023-01-14,2.3267,0.6462,0.37,1,MODIS_TERRA
9.0,104.5,2023-01-14,2.2996,0.6428,0.7,0,MODIS_TERRA
9.0,105.25,2023-01-14,2.3554,0.6498,0.16,1,MODIS_TERRA
16.25,101.5,2023-01-14,2.2167,0.6319,0.72,0,MODIS_TERRA
16.25,101.75,2023-01-14,2.2834,0.6407,0.22,1,MODIS_TERRA
16.5,101.5,2023-01-14,2.2189,0.6322,0.04,1,MODIS_TERRA
16.5,101.75,2023-01-14,2.1793,0.6268,0.18,1,MODIS_TERRA
20.75,104.5,2023-01-14,1.9165,0.5862,0.44,1,MODIS_TERRA
20.75,104.75,2023-01-14,1.7826,0.5619,0.77,0,MODIS_TERRA
20.75,105.0,2023-01-14,1.8447,0.5735,0.6,0,MODIS_TERRA
21.25,104.5,2023-01-14,1.9222,0.5872,0.39,1,MODIS_TERRA
21.25,104.75,2023-01-14,1.9597,0.5934,0.05,1,MODIS_TERRA
0.0,108.0,2023-01-15,1.2592,0.4316,0.51,0,MODIS_TERRA
0.0,120.0,2023-01-15,2.6672,0.6843,0.06,1,MODIS_TERRA
1.0,113.0,2023-01-15,1.3846,0.4694,0.77,0,MODIS_TERRA
2.0,98.0,2023-01-15,2.2201,0.6324,0.2,1,MODIS_TERRA
3.0,100.0,2023-01-15,2.6729,0.6848,0.61,0,MODIS_TERRA
3.0,102.0,2023-01-15,2.3186,0.6452,0.6,0,MODIS_TERRA
3.0,104.0,2023-01-15,1.9186,0.5865,0.57,0,MODIS_TERRA
3.0,112.0,2023-01-15,1.5619,0.515,0.24,1,MODIS_TERRA
3.0,115.0,2023-01-15,1.692,0.5438,0.69,0,MODIS_TERRA
4.0,96.0,2023-01-15,1.8451,0.5736,0.09,1,MODIS_TERRA
4.0,101.0,2023-01-15,2.3303,0.6467,0.05,1,MODIS_TERRA
4.0,118.0,2023-01-15,2.3953,0.6546,0.03,1,MODIS_TERRA
5.0,106.0,2023-01-15,1.9898,0.5984,0.54,0,MODIS_TERRA
5.0,107.0,2023-01-15,1.681,0.5415,0.55,0,MODIS_TERRA
5.0,115.0,2023-01-15,1.7063,0.5467,0.01,1,MODIS_TERRA
6.0,115.0,2023-01-15,1.8508,0.5746,0.28,1,MODIS_TERRA
6.0,117.0,2023-01-15,2.0801,0.6124,0.14,1,MODIS_TERRA
7.0,96.0,2023-01-15,2.1241,0.6189,0.55,0,MODIS_TERRA
7.0,101.0,2023-01-15,2.3476,0.6488,0.61,0,MODIS_TERRA
7.0,111.0,2023-01-15,2.0391,0.6062,0.05,1,MODIS_TERRA
8.0,98.0,2023-01-15,2.2168,0.6319,0.64,0,MODIS_TERRA
8.0,101.0,2023-01-15,2.3543,0.6497,0.05,1,MODIS_TERRA
8.0,106.0,2023-01-15,2.2218,0.6326,0.11,1,MODIS_TERRA
8.5,106.0,2023-01-15,2.2423,0.6353,0.76,0,MODIS_TERRA
8.5,106.25,2023-01-15,2.3474,0.6488,0.65,0,MODIS_TERRA
8.5,106.5,2023-01-15,2.2906,0.6416,0.78,0,MODIS_TERRA
8.75,105.5,2023-01-15,2.347,0.6487,0.66,0,MODIS_TERRA
8.75,105.75,2023-01-15,2.367,0.6512,0.13,1,MODIS_TERRA
9.0,101.0,2023-01-15,2.3938,0.6544,0.8,0,MODIS_TERRA
9.0,106.25,2023-01-15,2.3506,0.6492,0.22,1,MODIS_TERRA
9.0,107.0,2023-01-15,2.5457,0.6717,0.39,1,MODIS_TERRA
10.0,96.0,2023-01-15,2.4583,0.662,0.06,1,MODIS_TERRA
10.0,101.0,2023-01-15,2.4663,0.6629,0.4,1,MODIS_TERRA
10.0,112.0,2023-01-15,2.5174,0.6686,0.42,1,MODIS_TERRA
11.0,98.0,2023-01-15,2.4143,0.6569,0.53,0,MODIS_TERRA
11.0,111.0,2023-01-15,2.3059,0.6436,0.8,0,MODIS_TERRA
11.0,114.0,2023-01-15,2.5474,0.6719,0.6,0,MODIS_TERRA
12.0,107.0,2023-01-15,2.1767,0.6264,0.68,0,MODIS_TERRA
12.0,108.0,2023-01-15,2.287,0.6412,0.24,1,MODIS_TERRA
13.0,117.0,2023-01-15,2.0519,0.6081,0.04,1,MODIS_TERRA
14.0,106.0,2023-01-15,2.0313,0.605,0.69,0,MODIS_TERRA
14.0,108.0,2023-01-15,2.034,0.6054,0.47,1,MODIS_TERRA
15.0,98.0,2023-01-15,2.1541,0.6232,0.33,1,MODIS_TERRA
15.0,114.0,2023-01-15,1.707,0.5469,0.34,1,MODIS_TERRA
16.0,96.0,2023-01-15,1.9015,0.5836,0.76,0,MODIS_TERRA
16.0,103.0,2023-01-15,2.032,0.6051,0.74,0,MODIS_TERRA
16.0,110.0,2023-01-15,1.5865,0.5207,0.23,1,MODIS_TERRA
16.0,116.0,2023-01-15,1.8415,0.5729,0.59,0,MODIS_TERRA
16.5,101.25,2023-01-15,2.3241,0.6459,0.74,0,MODIS_TERRA
16.5,101.5,2023-01-15,2.2868,0.6412,0.3,1,MODIS_TERRA
16.5,101.75,2023-01-15,2.2699,0.639,0.37,1,MODIS_TERRA
16.5,102.0,2023-01-15,2.1401,0.6212,0.4,1,MODIS_TERRA
16.75,101.25,2023-01-15,2.2571,0.6373,0.11,1,MODIS_TERRA
17.0,97.0,2023-01-15,1.9898,0.5984,0.66,0,MODIS_TERRA
17.0,109.0,2023-01-15,1.5956,0.5228,0.49,1,MODIS_TERRA
18.0,98.0,2023-01-15,2.1507,0.6227,0.53,0,MODIS_TERRA
18.0,101.0,2023-01-15,2.3271,0.6463,0.45,1,MODIS_TERRA
18.0,118.0,2023-01-15,2.3432,0.6483,0.62,0,MODIS_TERRA
18.0,121.0,2023-01-15,2.4024,0.6555,0.44,1,MODIS_TERRA
19.0,99.0,2023-01-15,2.2951,0.6422,0.32,1,MODIS_TERRA
19.0,113.0,2023-01-15,1.4139,0.4775,0.29,1,MODIS_TERRA
19.0,117.0,2023-01-15,2.1505,0.6227,0.61,0,MODIS_TERRA
20.0,106.0,2023-01-15,1.8424,0.5731,0.21,1,MODIS_TERRA
20.0,117.0,2023-01-15,2.119,0.6182,0.13,1,MODIS_TERRA
20.5,104.75,2023-01-15,1.8147,0.568,0.15,1,MODIS_TERRA
20.5,105.0,2023-01-15,1.7374,0.553,0.02,1,MODIS_TERRA
20.75,104.25,2023-01-15,1.8845,0.5806,0.36,1,MODIS_TERRA
21.0,104.0,2023-01-15,1.9809,0.5969,0.14,1,MODIS_TERRA
21.0,104.25,2023-01-15,1.9325,0.5889,0.51,0,MODIS_TERRA
9.0,106.5,2023-01-16,2.4099,0.6563,0.53,0,MODIS_TERRA
9.25,106.25,2023-01-16,2.4188,0.6574,0.79,0,MODIS_TERRA
9.25,106.5,2023-01-16,2.4138,0.6568,0.62,0,MODIS_TERRA
9.25,106.75,2023-01-16,2.3466,0.6487,0.65,0,MODIS_TERRA
9.5,106.5,2023-01-16,2.5449,0.6716,0.01,1,MODIS_TERRA
16.5,101.75,2023-01-16,2.1982,0.6294,0.18,1,MODIS_TERRA
16.5,102.0,2023-01-16,2.1882,0.628,0.07,1,MODIS_TERRA
16.75,101.75,2023-01-16,2.3413,0.648,0.46,1,MODIS_TERRA
16.75,102.0,2023-01-16,2.2002,0.6297,0.68,0,MODIS_TERRA
20.5,104.75,2023-01-16,1.7774,0.5609,0.61,0,MODIS_TERRA
20.5,105.0,2023-01-16,1.7714,0.5597,0.04,1,MODIS_TERRA
20.75,104.5,2023-01-16,1.7642,0.5583,0.75,0,MODIS_TERRA
20.75,104.75,2023-01-16,1.7815,0.5617,0.4,1,MODIS_TERRA
21.0,104.5,2023-01-16,2.345,0.6485,0.59,0,MODIS_TERRA
9.0,107.25,2023-01-17,2.3674,0.6513,0.29,1,MODIS_TERRA
9.25,106.75,2023-01-17,2.4371,0.6595,0.07,1,MODIS_TERRA
9.25,107.0,2023-01-17,2.3625,0.6506,0.47,1,MODIS_TERRA
9.25,107.25,2023-01-17,2.4299,0.6587,0.72,0,MODIS_TERRA
9.5,106.75,2023-01-17,2.451,0.6611,0.43,1,MODIS_TERRA
9.5,107.25,2023-01-17,2.4442,0.6604,0.03,1,MODIS_TERRA
13.25,119.5,2023-01-17,2.5969,0.6771,0.02,1,MODIS_TERRA
13.5,118.75,2023-01-17,2.3559,0.6498,0.44,1,MODIS_TERRA
13.5,119.0,2023-01-17,2.3246,0.646,0.53,0,MODIS_TERRA
13.75,118.5,2023-01-17,2.2694,0.6389,0.73,0,MODIS_TERRA
13.75,118.75,2023-01-17,2.3461,0.6486,0.69,0,MODIS_TERRA
13.75,119.25,2023-01-17,2.4179,0.6573,0.14,1,MODIS_TERRA
16.5,101.75,2023-01-17,2.2482,0.6361,0.32,1,MODIS_TERRA
16.75,101.25,2023-01-17,2.3407,0.648,0.78,0,MODIS_TERRA
16.75,101.5,2023-01-17,2.249,0.6362,0.02,1,MODIS_TERRA
16.75,101.75,2023-01-17,2.26,0.6377,0.52,0,MODIS_TERRA
17.0,101.25,2023-01-17,2.3886,0.6538,0.06,1,MODIS_TERRA
20.5,105.0,2023-01-17,1.7063,0.5468,0.14,1,MODIS_TERRA
21.0,105.25,2023-01-17,1.8364,0.572,0.16,1,MODIS_TERRA
21.0,105.5,2023-01-17,1.7943,0.5641,0.67,0,MODIS_TERRA
21.25,105.5,2023-01-17,1.7327,0.5521,0.62,0,MODIS_TERRA
8.5,108.5,2023-01-18,2.2655,0.6384,0.61,0,MODIS_TERRA
8.5,108.75,2023-01-18,2.3074,0.6438,0.48,1,MODIS_TERRA
8.75,108.0,2023-01-18,2.4806,0.6645,0.59,0,MODIS_TERRA
8.75,108.75,2023-01-18,2.3916,0.6542,0.32,1,MODIS_TERRA
9.0,107.75,2023-01-18,2.6093,0.6784,0.6,0,MODIS_TERRA
9.0,108.25,2023-01-18,2.6597,0.6835,0.14,1,MODIS_TERRA
9.0,108.5,2023-01-18,2.4826,0.6647,0.15,1,MODIS_TERRA
9.25,107.5,2023-01-18,2.4801,0.6644,0.32,1,MODIS_TERRA
13.25,120.0,2023-01-18,2.5149,0.6683,0.32,1,MODIS_TERRA
13.25,120.25,2023-01-18,2.5512,0.6723,0.25,1,MODIS_TERRA
13.5,120.0,2023-01-18,2.5395,0.671,0.47,1,MODIS_TERRA
13.75,119.5,2023-01-18,2.6379,0.6813,0.19,1,MODIS_TERRA
13.75,119.75,2023-01-18,2.4973,0.6664,0.79,0,MODIS_TERRA
17.0,101.25,2023-01-18,2.5251,0.6694,0.01,1,MODIS_TERRA
17.0,101.5,2023-01-18,2.3966,0.6548,0.53,0,MODIS_TERRA
17.0,101.75,2023-01-18,2.2314,0.6339,0.54,0,MODIS_TERRA
17.25,101.5,2023-01-18,2.2606,0.6378,0.22,1,MODIS_TERRA
