lat_grid,lon_grid,date,sst_celsius,sst_anomaly,quality_flag,data_source
9.25,104.75,2023-01-12,26.58,-0.421,1,MODIS_AQUA
9.25,105.0,2023-01-12,26.36,-0.645,1,MODIS_AQUA
9.5,104.75,2023-01-12,26.78,-0.296,1,MODIS_AQUA
9.5,105.0,2023-01-12,27.15,0.073,1,MODIS_AQUA
9.75,105.0,2023-01-12,27.02,-0.133,2,MODIS_AQUA
16.25,102.0,2023-01-12,25.45,0.097,1,MODIS_AQUA
16.25,102.25,2023-01-12,24.56,-0.791,1,MODIS_AQUA
16.5,102.0,2023-01-12,25.15,-0.124,1,MODIS_AQUA
8.75,104.5,2023-01-13,25.82,-1.048,1,MODIS_AQUA
8.75,104.75,2023-01-13,27.07,0.209,1,MODIS_AQUA
9.0,104.25,2023-01-13,26.61,-0.334,2,MODIS_AQUA
9.0,104.75,2023-01-13,26.47,-0.467,2,MODIS_AQUA
9.0,105.0,2023-01-13,26.53,-0.412,2,MODIS_AQUA
16.5,101.75,2023-01-13,24.43,-0.862,2,MODIS_AQUA
16.5,102.0,2023-01-13,25.09,-0.201,1,MODIS_AQUA
20.5,104.25,2023-01-13,24.19,0.097,2,MODIS_AQUA
20.75,104.0,2023-01-13,23.19,-0.826,2,MODIS_AQUA
20.75,105.0,2023-01-13,23.63,-0.39,1,MODIS_AQUA
21.0,104.25,2023-01-13,22.84,-1.104,1,MODIS_AQUA
21.0,104.5,2023-01-13,23.29,-0.654,1,MODIS_AQUA
21.25,104.5,2023-01-13,23.87,0.002,1,MODIS_AQUA
21.25,105.0,2023-01-13,23.78,-0.089,1,MODIS_AQUA
8.75,105.0,2023-01-14,26.87,-0.009,1,MODIS_AQUA
8.75,105.25,2023-01-14,26.33,-0.551,1,MODIS_AQUA
9.0,104.25,2023-01-14,27.09,0.14,1,MODIS_AQUA
9.0,104.5,2023-01-14,26.57,-0.38,1,MODIS_AQUA
9.0,105.25,2023-01-14,27.7,0.746,2,MODIS_AQUA
16.25,101.5,2023-01-14,25.09,-0.291,1,MODIS_AQUA
16.25,101.75,2023-01-14,25.61,0.232,1,MODIS_AQUA
16.5,101.5,2023-01-14,24.53,-0.773,1,MODIS_AQUA
16.5,101.75,2023-01-14,25.06,-0.246,1,MODIS_AQUA
20.75,104.5,2023-01-14,24.07,0.038,2,MODIS_AQUA
20.75,104.75,2023-01-14,23.7,-0.327,1,MODIS_AQUA
20.75,105.0,2023-01-14,23.85,-0.183,1,MODIS_AQUA
21.25,104.5,2023-01-14,23.8,-0.077,1,MODIS_AQUA
21.25,104.75,2023-01-14,23.99,0.107,2,MODIS_AQUA
0.0,108.0,2023-01-15,24.77,0.507,1,MODIS_AQUA
0.0,120.0,2023-01-15,23.19,-1.074,1,MODIS_AQUA
1.0,113.0,2023-01-15,23.93,-0.637,1,MODIS_AQUA
2.0,98.0,2023-01-15,24.86,-0.009,1,MODIS_AQUA
3.0,100.0,2023-01-15,24.49,-0.674,1,MODIS_AQUA
3.0,102.0,2023-01-15,24.25,-0.918,1,MODIS_AQUA
3.0,104.0,2023-01-15,24.19,-0.975,1,MODIS_AQUA
3.0,112.0,2023-01-15,24.75,-0.411,1,MODIS_AQUA
3.0,115.0,2023-01-15,25.16,-0.009,1,MODIS_AQUA
4.0,96.0,2023-01-15,24.27,-1.198,2,MODIS_AQUA
4.0,101.0,2023-01-15,25.08,-0.385,1,MODIS_AQUA
4.0,118.0,2023-01-15,24.88,-0.581,2,MODIS_AQUA
5.0,106.0,2023-01-15,25.97,0.209,1,MODIS_AQUA
5.0,107.0,2023-01-15,25.12,-0.642,1,MODIS_AQUA
5.0,115.0,2023-01-15,25.21,-0.551,1,MODIS_AQUA
6.0,115.0,2023-01-15,25.88,-0.185,1,MODIS_AQUA
6.0,117.0,2023-01-15,25.58,-0.489,1,MODIS_AQUA
7.0,96.0,2023-01-15,26.26,-0.109,1,MODIS_AQUA
7.0,101.0,2023-01-15,26.39,0.025,1,MODIS_AQUA
7.0,111.0,2023-01-15,26.0,-0.368,1,MODIS_AQUA
8.0,98.0,2023-01-15,26.41,-0.256,1,MODIS_AQUA
8.0,101.0,2023-01-15,26.13,-0.531,2,MODIS_AQUA
8.0,106.0,2023-01-15,26.85,0.186,1,MODIS_AQUA
8.5,106.0,2023-01-15,27.1,0.282,1,MODIS_AQUA
8.5,106.25,2023-01-15,26.45,-0.361,2,MODIS_AQUA
8.5,106.5,2023-01-15,26.79,-0.023,1,MODIS_AQUA
8.75,105.5,2023-01-15,26.5,-0.386,1,MODIS_AQUA
8.75,105.75,2023-01-15,26.73,-0.156,2,MODIS_AQUA
9.0,101.0,2023-01-15,26.45,-0.516,1,MODIS_AQUA
9.0,106.25,2023-01-15,26.79,-0.176,1,MODIS_AQUA
9.0,107.0,2023-01-15,26.73,-0.238,2,MODIS_AQUA
10.0,96.0,2023-01-15,26.87,-0.399,1,MODIS_AQUA
10.0,101.0,2023-01-15,27.2,-0.067,1,MODIS_AQUA
10.0,112.0,2023-01-15,27.13,-0.131,1,MODIS_AQUA
11.0,98.0,2023-01-15,26.04,-0.93,1,MODIS_AQUA
11.0,111.0,2023-01-15,26.62,-0.341,1,MODIS_AQUA
11.0,114.0,2023-01-15,26.41,-0.554,1,MODIS_AQUA
12.0,107.0,2023-01-15,26.15,-0.518,1,MODIS_AQUA
12.0,108.0,2023-01-15,26.22,-0.444,2,MODIS_AQUA
13.0,117.0,2023-01-15,25.61,-0.751,1,MODIS_AQUA
14.0,106.0,2023-01-15,25.87,-0.197,1,MODIS_AQUA
14.0,108.0,2023-01-15,24.91,-1.154,2,MODIS_AQUA
15.0,98.0,2023-01-15,25.67,-0.096,2,MODIS_AQUA
15.0,114.0,2023-01-15,26.0,0.232,1,MODIS_AQUA
16.0,96.0,2023-01-15,25.03,-0.438,1,MODIS_AQUA
16.0,103.0,2023-01-15,25.21,-0.257,2,MODIS_AQUA
16.0,110.0,2023-01-15,25.26,-0.208,1,MODIS_AQUA
16.0,116.0,2023-01-15,25.61,0.14,1,MODIS_AQUA
16.5,101.25,2023-01-15,25.44,0.122,1,MODIS_AQUA
16.5,101.5,2023-01-15,24.92,-0.391,1,MODIS_AQUA
16.5,101.75,2023-01-15,24.57,-0.75,1,MODIS_AQUA
16.5,102.0,2023-01-15,25.43,0.118,1,MODIS_AQUA
16.75,101.25,2023-01-15,25.0,-0.237,2,MODIS_AQUA
17.0,97.0,2023-01-15,25.12,-0.045,1,MODIS_AQUA
17.0,109.0,2023-01-15,25.35,0.18,1,MODIS_AQUA
18.0,98.0,2023-01-15,24.6,-0.268,1,MODIS_AQUA
18.0,101.0,2023-01-15,25.11,0.249,2,MODIS_AQUA
18.0,118.0,2023-01-15,25.53,0.668,2,MODIS_AQUA
18.0,121.0,2023-01-15,24.63,-0.235,1,MODIS_AQUA
19.0,99.0,2023-01-15,24.16,-0.408,1,MODIS_AQUA
19.0,113.0,2023-01-15,24.58,0.009,1,MODIS_AQUA
19.0,117.0,2023-01-15,24.69,0.12,1,MODIS_AQUA
20.0,106.0,2023-01-15,24.2,-0.07,1,MODIS_AQUA
20.0,117.0,2023-01-15,24.49,0.228,1,MODIS_AQUA
20.5,104.75,2023-01-15,24.1,-0.013,1,MODIS_AQUA
20.5,105.0,2023-01-15,23.69,-0.424,1,MODIS_AQUA
20.75,104.25,2023-01-15,23.46,-0.576,2,MODIS_AQUA
21.0,104.0,2023-01-15,23.91,-0.052,1,MODIS_AQUA
21.0,104.25,2023-01-15,23.98,0.011,1,MODIS_AQUA
9.0,106.5,2023-01-16,26.64,-0.338,2,MODIS_AQUA
9.25,106.25,2023-01-16,26.5,-0.553,1,MODIS_AQUA
9.25,106.5,2023-01-16,26.58,-0.477,1,MODIS_AQUA
9.25,106.75,2023-01-16,27.97,0.917,2,MODIS_AQUA
9.5,106.5,2023-01-16,26.2,-0.926,1,MODIS_AQUA
16.5,101.75,2023-01-16,25.18,-0.152,1,MODIS_AQUA
16.5,102.0,2023-01-16,24.89,-0.439,2,MODIS_AQUA
16.75,101.75,2023-01-16,24.7,-0.551,2,MODIS_AQUA
16.75,102.0,2023-01-16,25.14,-0.11,1,MODIS_AQUA
20.5,104.75,2023-01-16,24.06,-0.066,1,MODIS_AQUA
20.5,105.0,2023-01-16,23.87,-0.256,1,MODIS_AQUA
20.75,104.5,2023-01-16,23.84,-0.215,2,MODIS_AQUA
20.75,104.75,2023-01-16,23.61,-0.443,1,MODIS_AQUA
21.0,104.5,2023-01-16,23.83,-0.149,1,MODIS_AQUA
9.0,107.25,2023-01-17,26.77,-0.222,1,MODIS_AQUA
9.25,106.75,2023-01-17,26.93,-0.133,1,MODIS_AQUA
9.25,107.0,2023-01-17,26.41,-0.653,2,MODIS_AQUA
9.25,107.25,2023-01-17,26.86,-0.206,2,MODIS_AQUA
9.5,106.75,2023-01-17,26.26,-0.882,1,MODIS_AQUA
9.5,107.25,2023-01-17,26.43,-0.714,1,MODIS_AQUA
13.25,119.5,2023-01-17,26.01,-0.311,2,MODIS_AQUA
13.5,118.75,2023-01-17,26.36,0.115,1,MODIS_AQUA
13.5,119.0,2023-01-17,26.38,0.137,1,MODIS_AQUA
13.75,118.5,2023-01-17,26.07,-0.097,1,MODIS_AQUA
13.75,118.75,2023-01-17,25.96,-0.208,1,MODIS_AQUA
13.75,119.25,2023-01-17,25.69,-0.476,2,MODIS_AQUA
16.5,101.75,2023-01-17,25.14,-0.199,1,MODIS_AQUA
16.75,101.25,2023-01-17,24.98,-0.282,1,MODIS_AQUA
16.75,101.5,2023-01-17,25.37,0.107,1,MODIS_AQUA
16.75,101.75,2023-01-17,24.42,-0.843,1,MODIS_AQUA
17.0,101.25,2023-01-17,24.96,-0.233,1,MODIS_AQUA
20.5,105.0,2023-01-17,23.41,-0.736,1,MODIS_AQUA
21.0,105.25,2023-01-17,23.76,-0.23,2,MODIS_AQUA
21.0,105.5,2023-01-17,23.36,-0.634,2,MODIS_AQUA
21.25,105.5,2023-01-17,24.5,0.582,1,MODIS_AQUA
8.5,108.5,2023-01-18,26.92,0.066,1,MODIS_AQUA
8.5,108.75,2023-01-18,26.04,-0.81,1,MODIS_AQUA
8.75,108.0,2023-01-18,26.23,-0.705,1,MODIS_AQUA
8.75,108.75,2023-01-18,26.02,-0.908,1,MODIS_AQUA
9.0,107.75,2023-01-18,27.07,0.065,1,MODIS_AQUA
9.0,108.25,2023-01-18,26.77,-0.237,2,MODIS_AQUA
9.0,108.5,2023-01-18,26.5,-0.503,1,MODIS_AQUA
9.25,107.5,2023-01-18,26.67,-0.412,1,MODIS_AQUA
13.25,120.0,2023-01-18,25.7,-0.635,1,MODIS_AQUA
13.25,120.25,2023-01-18,25.8,-0.53,2,MODIS_AQUA
13.5,120.0,2023-01-18,25.98,-0.271,1,MODIS_AQUA
13.75,119.5,2023-01-18,25.31,-0.868,1,MODIS_AQUA
13.75,119.75,2023-01-18,26.21,0.028,2,MODIS_AQUA
17.0,101.25,2023-01-18,25.25,0.04,1,MODIS_AQUA
17.0,101.5,2023-01-18,24.73,-0.475,1,MODIS_AQUA
17.0,101.75,2023-01-18,24.9,-0.31,1,MODIS_AQUA
17.25,101.5,2023-01-18,25.08,-0.049,1,MODIS_AQUA
17.25,101.75,2023-01-18,24.47,-0.661,1,MODIS_AQUA
21.5,105.25,2023-01-18,23.97,0.114,1,MODIS_AQUA
21.75,105.25,2023-01-18,23.44,-0.336,1,MODIS_AQUA
21.75,105.5,2023-01-18,23.48,-0.295,1,MODIS_AQUA
22.0,105.75,2023-01-18,23.88,0.175,1,MODIS_AQUA
22.0,106.0,2023-01-18,23.12,-0.587,1,MODIS_AQUA
8.25,109.0,2023-01-19,25.95,-0.839,1,MODIS_AQUA
8.5,108.75,2023-01-19,26.77,-0.101,1,MODIS_AQUA
8.5,109.0,2023-01-19,26.26,-0.612,1,MODIS_AQUA
8.75,108.5,2023-01-19,27.15,0.206,2,MODIS_AQUA
8.75,108.75,2023-01-19,26.64,-0.307,1,MODIS_AQUA
9.0,108.5,2023-01-19,26.49,-0.533,1,MODIS_AQUA
12.75,120.5,2023-01-19,25.55,-0.94,2,MODIS_AQUA
12.75,120.75,2023-01-19,25.99,-0.505,1,MODIS_AQUA
12.75,121.0,2023-01-19,25.81,-0.684,1,MODIS_AQUA
13.0,120.5,2023-01-19,26.1,-0.319,1,MODIS_AQUA
13.0,120.75,2023-01-19,26.15,-0.272,1,MODIS_AQUA
13.25,121.0,2023-01-19,25.59,-0.757,1,MODIS_AQUA
17.25,102.0,2023-01-19,25.41,0.268,1,MODIS_AQUA
17.5,101.75,2023-01-19,25.24,0.172,1,MODIS_AQUA
17.5,102.0,2023-01-19,25.14,0.069,1,MODIS_AQUA
17.75,102.0,2023-01-19,25.06,0.069,1,MODIS_AQUA
20.75,104.75,2023-01-19,24.04,-0.054,1,MODIS_AQUA
20.75,105.5,2023-01-19,23.98,-0.113,1,MODIS_AQUA
21.0,105.0,2023-01-19,22.92,-1.103,1,MODIS_AQUA
21.25,104.75,2023-01-19,23.91,-0.039,1,MODIS_AQUA
21.25,105.25,2023-01-19,23.58,-0.361,1,MODIS_AQUA
21.5,105.5,2023-01-19,24.46,0.592,1,MODIS_AQUA
8.5,108.75,2023-01-20,26.16,-0.719,1,MODIS_AQUA
8.75,108.25,2023-01-20,26.49,-0.466,1,MODIS_AQUA
9.0,108.5,2023-01-20,26.6,-0.437,2,MODIS_AQUA
9.0,108.75,2023-01-20,26.23,-0.802,1,MODIS_AQUA
9.0,109.0,2023-01-20,27.2,0.167,2,MODIS_AQUA
13.0,120.5,2023-01-20,25.76,-0.677,1,MODIS_AQUA
13.0,120.75,2023-01-20,26.23,-0.206,2,MODIS_AQUA
13.25,121.0,2023-01-20,26.98,0.618,1,MODIS_AQUA
13.5,120.5,2023-01-20,25.77,-0.51,1,MODIS_AQUA
17.0,102.0,2023-01-20,24.68,-0.551,1,MODIS_AQUA
17.25,101.75,2023-01-20,24.83,-0.323,1,MODIS_AQUA
17.25,102.0,2023-01-20,25.02,-0.141,1,MODIS_AQUA
17.5,102.0,2023-01-20,25.0,-0.082,1,MODIS_AQUA
20.75,106.75,2023-01-20,23.35,-0.762,1,MODIS_AQUA
21.0,106.0,2023-01-20,23.79,-0.239,2,MODIS_AQUA
21.0,106.25,2023-01-20,23.3,-0.732,1,MODIS_AQUA
21.25,105.5,2023-01-20,23.18,-0.781,1,MODIS_AQUA
21.5,105.5,2023-01-20,23.85,-0.033,1,MODIS_AQUA
8.5,108.5,2023-01-21,26.43,-0.469,2,MODIS_AQUA
8.5,108.75,2023-01-21,26.14,-0.756,2,MODIS_AQUA
